year_month,count
2014-01-01,7
2014-02-01,1
2014-03-01,1
2014-04-01,6
2014-05-01,9
2014-06-01,7
2014-07-01,16
2014-08-01,10
2014-09-01,8
2014-10-01,17
2014-11-01,6
2014-12-01,10
2015-01-01,11
2015-02-01,14
2015-03-01,14
2015-04-01,12
2015-05-01,9
2015-06-01,13
2015-07-01,19
2015-08-01,17
2015-09-01,10
2015-10-01,15
2015-11-01,26
2015-12-01,10
2016-01-01,17
2016-02-01,16
2016-03-01,24
2016-04-01,18
2016-05-01,16
2016-06-01,20
2016-07-01,6
2016-08-01,17
2016-09-01,14
2016-10-01,15
2016-11-01,9
2016-12-01,10
2017-01-01,16
2017-02-01,11
2017-03-01,17
2017-04-01,12
2017-05-01,18
2017-06-01,11
2017-07-01,16
2017-08-01,12
2017-09-01,23
2017-10-01,19
2017-11-01,12
2017-12-01,16
2018-01-01,22
2018-02-01,13
2018-03-01,13
2018-04-01,21
2018-05-01,15
2018-06-01,13
2018-07-01,22
2018-08-01,17
2018-09-01,30
2018-10-01,29
2018-11-01,22
2018-12-01,21
2019-01-01,20
2019-02-01,14
2019-03-01,16
2019-04-01,42
2019-05-01,28
2019-06-01,20
2019-07-01,37
2019-08-01,18
2019-09-01,20
2019-10-01,26
2019-11-01,14
2019-12-01,20
2020-01-01,19
2020-02-01,22
2020-03-01,26
2020-04-01,18
2020-05-01,23
2020-06-01,20
2020-07-01,18
2020-08-01,16
2020-09-01,22
2020-10-01,19
2020-11-01,27
2020-12-01,23
2021-01-01,18
2021-02-01,19
2021-03-01,21
2021-04-01,25
2021-05-01,17
2021-06-01,20
2021-07-01,16
2021-08-01,19
2021-09-01,15
2021-10-01,27
2021-11-01,15
2021-12-01,26
2022-01-01,29
2022-02-01,20
2022-03-01,14
2022-04-01,12
2022-05-01,30
2022-06-01,12
2022-07-01,22
2022-08-01,19
2022-09-01,19
2022-10-01,18
2022-11-01,16
2022-12-01,14
2023-01-01,18
2023-02-01,11
2023-03-01,24
2023-04-01,21
2023-05-01,12
2023-06-01,25
2023-07-01,1
