year_month,count
2016-11-01,8
2016-12-01,4
2017-01-01,4
2017-02-01,20
2017-03-01,11
2017-04-01,7
2017-05-01,7
2017-06-01,10
2017-07-01,6
2017-08-01,3
2017-09-01,7
2017-11-01,8
2017-12-01,8
2018-01-01,12
2018-02-01,9
2018-03-01,16
2018-04-01,9
2018-05-01,18
2018-06-01,15
2018-07-01,13
2018-08-01,9
2018-09-01,38
2018-10-01,17
2018-11-01,43
2018-12-01,26
2019-01-01,20
2019-02-01,14
2019-03-01,16
2019-04-01,27
2019-05-01,16
2019-06-01,17
2019-07-01,16
2019-08-01,15
2019-09-01,12
2019-10-01,18
2019-11-01,7
2019-12-01,10
2020-01-01,10
2020-02-01,5
2020-03-01,7
2020-04-01,15
2020-05-01,12
2020-06-01,9
2020-07-01,11
2020-08-01,8
2020-09-01,10
2020-10-01,8
2020-11-01,11
2020-12-01,14
2021-01-01,13
2021-02-01,8
2021-03-01,7
2021-04-01,8
2021-05-01,9
2021-06-01,13
2021-07-01,9
2021-08-01,14
2021-09-01,10
2021-10-01,4
2021-11-01,24
2021-12-01,13
2022-01-01,23
2022-02-01,7
2022-03-01,13
2022-04-01,11
2022-05-01,8
2022-06-01,14
2022-07-01,15
2022-08-01,15
2022-09-01,10
2022-10-01,8
2022-11-01,12
2022-12-01,11
2023-01-01,13
2023-02-01,15
2023-03-01,20
2023-04-01,16
2023-05-01,14
2023-06-01,10
