year_month,count
2014-12-01,6
2015-01-01,4
2015-02-01,2
2015-03-01,3
2015-04-01,1
2015-05-01,4
2015-06-01,4
2015-07-01,3
2015-08-01,3
2015-09-01,33
2015-10-01,89
2015-11-01,55
2015-12-01,1
2016-01-01,1
2016-02-01,2
2016-03-01,20
2016-04-01,18
2016-05-01,17
2016-06-01,13
2016-07-01,3
2016-08-01,9
2016-09-01,5
2016-10-01,9
2016-11-01,8
2016-12-01,3
2017-01-01,9
2017-02-01,7
2017-03-01,5
2017-04-01,12
2017-05-01,7
2017-06-01,6
2017-07-01,20
2017-08-01,24
2017-09-01,10
2017-10-01,5
2017-11-01,12
2017-12-01,10
2018-01-01,9
2018-02-01,7
2018-03-01,16
2018-04-01,12
2018-05-01,9
2018-06-01,3
2018-07-01,12
2018-08-01,16
2018-09-01,8
2018-10-01,10
2018-11-01,17
2018-12-01,13
2019-01-01,15
2019-02-01,11
2019-03-01,16
2019-04-01,13
2019-05-01,14
2019-06-01,11
2019-07-01,12
2019-08-01,28
2019-09-01,28
2019-10-01,23
2019-11-01,15
2019-12-01,15
2020-01-01,17
2020-02-01,24
2020-03-01,19
2020-04-01,16
2020-05-01,13
2020-06-01,18
2020-07-01,22
2020-08-01,16
2020-09-01,17
2020-10-01,12
2020-11-01,16
2020-12-01,12
2021-01-01,16
2021-02-01,13
2021-03-01,14
2021-04-01,7
2021-05-01,12
2021-06-01,8
2021-07-01,11
2021-08-01,10
2021-09-01,5
2021-10-01,23
2021-11-01,14
2021-12-01,14
2022-01-01,13
2022-02-01,13
2022-03-01,14
2022-04-01,15
2022-05-01,12
2022-06-01,10
2022-07-01,22
2022-08-01,13
2022-09-01,18
2022-10-01,11
2022-11-01,15
2022-12-01,14
2023-01-01,11
2023-02-01,16
2023-03-01,20
2023-04-01,20
2023-05-01,19
2023-06-01,16
