"createdAt","closedAt","title","url"
"2020-6/9","2020-7/6","Modules","https://github.com/cpinitiative/usaco-guide/issues/1"
"2020-6/9","2021-2/11","Add more topics (not a priority)","https://github.com/cpinitiative/usaco-guide/issues/2"
"2020-6/9","2020-7/6","Gold","https://github.com/cpinitiative/usaco-guide/issues/3"
"2020-6/9","2020-7/6","Plat","https://github.com/cpinitiative/usaco-guide/issues/4"
"2020-6/9","2020-7/20","Adding Problems","https://github.com/cpinitiative/usaco-guide/issues/5"
"2020-6/9","2020-7/6","Intro","https://github.com/cpinitiative/usaco-guide/issues/6"
"2020-6/9","2020-7/6","Bronze","https://github.com/cpinitiative/usaco-guide/issues/7"
"2020-6/9","2020-7/6","General","https://github.com/cpinitiative/usaco-guide/issues/8"
"2020-6/9","2020-7/6","Silver","https://github.com/cpinitiative/usaco-guide/issues/9"
"2020-6/16","2020-6/16","Review Sorting (Silver)","https://github.com/cpinitiative/usaco-guide/issues/11"
"2020-6/16","2020-6/16","Text Alignment?","https://github.com/cpinitiative/usaco-guide/issues/12"
"2020-6/24","2020-7/6","Tabs for Switching Languages","https://github.com/cpinitiative/usaco-guide/issues/34"
"2020-6/28","2020-7/21","Progress Tracking","https://github.com/cpinitiative/usaco-guide/issues/36"
"2020-6/28","2020-6/28","Hyperlinks within info-block","https://github.com/cpinitiative/usaco-guide/issues/37"
"2020-6/28","2020-6/28","Embedding Colored Tables from USACO Book","https://github.com/cpinitiative/usaco-guide/issues/38"
"2020-6/28","2020-6/28","Code Blocks","https://github.com/cpinitiative/usaco-guide/issues/39"
"2020-7/3","2020-7/25","General","https://github.com/cpinitiative/usaco-guide/issues/40"
"2020-7/10","2020-7/14","Report an Issue / Get Help Buttons","https://github.com/cpinitiative/usaco-guide/issues/41"
"2020-7/10","2020-7/14","Persist Language Preference","https://github.com/cpinitiative/usaco-guide/issues/42"
"2020-7/10","2020-7/15","Restyle resources/problem lists for mobile","https://github.com/cpinitiative/usaco-guide/issues/43"
"2020-7/13","2020-7/15","Authors page?","https://github.com/cpinitiative/usaco-guide/issues/44"
"2020-7/13","2020-7/14","Merge help and complain button?","https://github.com/cpinitiative/usaco-guide/issues/45"
"2020-7/13","2020-7/21","Interactivity!","https://github.com/cpinitiative/usaco-guide/issues/46"
"2020-7/13","2020-7/17","Table of Contents Sidebar","https://github.com/cpinitiative/usaco-guide/issues/47"
"2020-7/13","2020-7/16","Left Nav Sidebar Improvements","https://github.com/cpinitiative/usaco-guide/issues/48"
"2020-7/13","2020-7/16","Code style guide?","https://github.com/cpinitiative/usaco-guide/issues/49"
"2020-7/13","2020-7/14","QoL Improvement: Make USACO Guide a button","https://github.com/cpinitiative/usaco-guide/issues/50"
"2020-7/13","2020-7/14","Full-width code blocks","https://github.com/cpinitiative/usaco-guide/issues/51"
"2020-7/14","2020-7/22","Searching","https://github.com/cpinitiative/usaco-guide/issues/52"
"2020-7/15","2020-7/19","General list of tips for each topic?","https://github.com/cpinitiative/usaco-guide/issues/53"
"2020-7/15","2020-7/16","More problem tutorial modules?","https://github.com/cpinitiative/usaco-guide/issues/54"
"2020-7/15","2020-7/26","Update Content Documentation","https://github.com/cpinitiative/usaco-guide/issues/55"
"2020-7/15","2020-7/17","AC on problems?","https://github.com/cpinitiative/usaco-guide/issues/56"
"2020-7/16","2020-7/31","""Focus Problem"" styling","https://github.com/cpinitiative/usaco-guide/issues/57"
"2020-7/16","2020-7/25","Full-Page Problem Editorials","https://github.com/cpinitiative/usaco-guide/issues/58"
"2020-7/16","2020-7/16","Prerequisites","https://github.com/cpinitiative/usaco-guide/issues/59"
"2020-7/17","2020-7/19","""Contact Us"" Form Validation","https://github.com/cpinitiative/usaco-guide/issues/60"
"2020-7/19","2020-7/25","Modules ready for review? (done content-wise)","https://github.com/cpinitiative/usaco-guide/issues/61"
"2020-7/19","2020-7/20","Change options?","https://github.com/cpinitiative/usaco-guide/issues/62"
"2020-7/20","2020-7/29","List of Excluded Problems","https://github.com/cpinitiative/usaco-guide/issues/63"
"2020-7/20","2020-7/20","Use gatsby-image for logo","https://github.com/cpinitiative/usaco-guide/issues/64"
"2020-7/20","2020-7/25","Chapter descriptions","https://github.com/cpinitiative/usaco-guide/issues/65"
"2020-7/20","2020-7/25","Rename ""How to Practice"" or add more","https://github.com/cpinitiative/usaco-guide/issues/66"
"2020-7/20","2020-7/21","orz feature","https://github.com/cpinitiative/usaco-guide/issues/67"
"2020-7/20","2020-7/26","TOC Modifications","https://github.com/cpinitiative/usaco-guide/issues/68"
"2020-7/21","2020-10/4","Links","https://github.com/cpinitiative/usaco-guide/issues/71"
"2020-7/21","2020-7/22","Contributions","https://github.com/cpinitiative/usaco-guide/issues/72"
"2020-7/21","2020-8/19","Dark Mode","https://github.com/cpinitiative/usaco-guide/issues/73"
"2020-7/21","2020-7/28","Login System","https://github.com/cpinitiative/usaco-guide/issues/74"
"2020-7/21","2020-7/22","Tabs at Top of Home Page","https://github.com/cpinitiative/usaco-guide/issues/76"
"2020-7/22","2020-12/12","Star / Favorite","https://github.com/cpinitiative/usaco-guide/issues/78"
"2020-7/22","2020-7/25","Code Consistency Across Languages","https://github.com/cpinitiative/usaco-guide/issues/84"
"2020-7/22","2020-7/25","Reviewing Modules","https://github.com/cpinitiative/usaco-guide/issues/85"
"2020-7/22","null","Searching Problems","https://github.com/cpinitiative/usaco-guide/issues/86"
"2020-7/22","2020-7/23","Convert lists of resources / problems to tables","https://github.com/cpinitiative/usaco-guide/issues/87"
"2020-7/23","2020-7/25","Display topic frequencies on TOC","https://github.com/cpinitiative/usaco-guide/issues/88"
"2020-7/23","2020-12/17","Making Notes","https://github.com/cpinitiative/usaco-guide/issues/89"
"2020-7/23","2020-7/25","Links to Official Editorials","https://github.com/cpinitiative/usaco-guide/issues/92"
"2020-7/23","2020-8/11","Buttons to Hide / Show Left / Right Sidebars","https://github.com/cpinitiative/usaco-guide/issues/93"
"2020-7/23","2020-7/23","Translations","https://github.com/cpinitiative/usaco-guide/issues/94"
"2020-7/23","2020-7/25","Display the Default 404 Page?","https://github.com/cpinitiative/usaco-guide/issues/95"
"2020-7/24","2020-7/25","suggestions from emails","https://github.com/cpinitiative/usaco-guide/issues/96"
"2020-7/25","2020-7/26","Make the yellow warning triangle next to ""Show Sketch"" optional","https://github.com/cpinitiative/usaco-guide/issues/102"
"2020-7/25","2020-8/11","Unable to Connect to Website","https://github.com/cpinitiative/usaco-guide/issues/103"
"2020-7/25","2020-7/26","Improving Contributor Experience","https://github.com/cpinitiative/usaco-guide/issues/104"
"2020-7/26","2020-7/26","Bronze - Time Complexity","https://github.com/cpinitiative/usaco-guide/issues/105"
"2020-7/26","2020-8/21","Bronze - Simulation","https://github.com/cpinitiative/usaco-guide/issues/106"
"2020-7/26","2020-7/26","author names for full page editorials","https://github.com/cpinitiative/usaco-guide/issues/107"
"2020-7/26","2020-12/13","Solution Pages","https://github.com/cpinitiative/usaco-guide/issues/109"
"2020-7/26","2020-7/28","Use only spaces or only tabs","https://github.com/cpinitiative/usaco-guide/issues/111"
"2020-7/26","2020-7/27","Problem Table Styling","https://github.com/cpinitiative/usaco-guide/issues/112"
"2020-7/26","2020-7/26","Multiple solutions?","https://github.com/cpinitiative/usaco-guide/issues/114"
"2020-7/27","2020-11/7","Announcement Banner (or Popup)?","https://github.com/cpinitiative/usaco-guide/issues/116"
"2020-7/28","2020-7/28","Make it so that tutorials/external links are dependent on the language. ","https://github.com/cpinitiative/usaco-guide/issues/117"
"2020-7/28","2020-7/28","Display division on sidebar","https://github.com/cpinitiative/usaco-guide/issues/118"
"2020-7/28","2020-8/11","Content","https://github.com/cpinitiative/usaco-guide/issues/119"
"2020-7/28","2020-7/31","Throwing Errors?","https://github.com/cpinitiative/usaco-guide/issues/120"
"2020-7/29","2020-7/31","Rename Intro to General","https://github.com/cpinitiative/usaco-guide/issues/122"
"2020-7/29","2020-7/29","Website Bug?","https://github.com/cpinitiative/usaco-guide/issues/124"
"2020-7/29","2020-7/29","Complete_Rec.mdx breaking the build","https://github.com/cpinitiative/usaco-guide/issues/125"
