year_month,count
2011-04-01,35
2011-05-01,1
2011-06-01,2
2011-08-01,1
2011-10-01,1
2011-11-01,1
2012-02-01,3
2012-04-01,2
2012-08-01,1
2013-02-01,2
2013-03-01,4
2013-04-01,2
2013-05-01,3
2013-06-01,1
2013-07-01,4
2013-08-01,4
2013-09-01,1
2014-01-01,1
2014-03-01,2
2014-05-01,1
2014-06-01,4
2014-07-01,2
2014-10-01,3
2014-12-01,2
2015-01-01,3
2015-03-01,23
2015-04-01,12
2015-05-01,4
2015-06-01,8
2015-07-01,6
2015-08-01,6
2015-09-01,13
2015-10-01,13
2015-11-01,11
2015-12-01,9
2016-01-01,7
2016-02-01,7
2016-03-01,4
2016-04-01,17
2016-05-01,8
2016-06-01,3
2016-07-01,2
2016-08-01,7
2016-09-01,6
2016-10-01,6
2016-11-01,2
2016-12-01,7
2017-01-01,4
2017-02-01,7
2017-03-01,8
2017-04-01,2
2017-05-01,5
2017-06-01,2
2017-07-01,4
2017-08-01,7
2017-09-01,4
2017-10-01,6
2017-11-01,7
2017-12-01,9
2018-01-01,7
2018-02-01,1
2018-03-01,5
2018-04-01,12
2018-05-01,5
2018-06-01,2
2018-07-01,8
2018-08-01,8
2018-09-01,5
2018-10-01,7
2018-11-01,8
2018-12-01,10
2019-01-01,7
2019-02-01,10
2019-03-01,7
2019-04-01,2
2019-05-01,7
2019-06-01,5
2019-07-01,6
2019-08-01,3
2019-09-01,4
2019-10-01,8
2019-11-01,7
2019-12-01,7
2020-01-01,3
2020-02-01,6
2020-03-01,5
2020-04-01,10
2020-05-01,8
2020-06-01,5
2020-07-01,6
2020-08-01,5
2020-09-01,3
2020-10-01,8
2020-11-01,5
2020-12-01,5
2021-01-01,5
2021-02-01,6
2021-03-01,6
2021-04-01,7
2021-05-01,2
2021-06-01,8
2021-07-01,4
2021-08-01,8
2021-09-01,6
2021-10-01,2
2021-11-01,4
2021-12-01,5
2022-01-01,1
2022-02-01,2
2022-03-01,7
2022-04-01,4
2022-05-01,4
2022-06-01,4
2022-07-01,6
2022-08-01,3
2022-09-01,8
2022-10-01,4
2022-11-01,2
2022-12-01,5
2023-01-01,4
2023-02-01,5
2023-03-01,6
2023-04-01,11
2023-05-01,10
2023-06-01,7
