year_month,count
2009-06-01,147
2009-07-01,13
2009-08-01,11
2009-09-01,15
2009-10-01,21
2009-11-01,24
2009-12-01,13
2010-01-01,19
2010-02-01,18
2010-03-01,11
2010-04-01,8
2010-05-01,20
2010-06-01,16
2010-07-01,12
2010-08-01,9
2010-09-01,16
2010-10-01,11
2010-11-01,8
2010-12-01,7
2011-01-01,12
2011-02-01,10
2011-03-01,7
2011-04-01,11
2011-05-01,9
2011-06-01,5
2011-07-01,2
2011-08-01,13
2011-09-01,11
2011-10-01,10
2011-11-01,6
2011-12-01,5
2012-01-01,9
2012-02-01,2
2012-03-01,6
2012-04-01,2
2012-05-01,4
2012-06-01,4
2012-07-01,4
2012-08-01,2
2012-09-01,3
2012-10-01,2
2012-11-01,2
2012-12-01,2
2013-02-01,10
2013-03-01,17
2013-04-01,8
2013-05-01,12
2013-06-01,9
2013-07-01,14
2013-08-01,13
2013-09-01,8
2013-10-01,11
2013-11-01,17
2013-12-01,19
2014-01-01,28
2014-02-01,20
2014-03-01,28
2014-04-01,22
2014-05-01,41
2014-06-01,36
2014-07-01,47
2014-08-01,35
2014-09-01,22
2014-10-01,29
2014-11-01,35
2014-12-01,27
2015-01-01,14
2015-02-01,26
2015-03-01,19
2015-04-01,33
2015-05-01,36
2015-06-01,21
2015-07-01,27
2015-08-01,17
2015-09-01,21
2015-10-01,15
2015-11-01,10
2015-12-01,16
2016-01-01,15
2016-02-01,16
2016-03-01,15
2016-04-01,18
2016-05-01,13
2016-06-01,15
2016-07-01,6
2016-08-01,14
2016-09-01,11
2016-10-01,12
2016-11-01,8
2016-12-01,12
2017-01-01,24
2017-02-01,10
2017-03-01,22
2017-04-01,7
2017-05-01,14
2017-06-01,19
2017-07-01,11
2017-08-01,9
2017-09-01,8
2017-10-01,11
2017-11-01,31
2017-12-01,14
2018-01-01,22
2018-02-01,10
2018-03-01,12
2018-04-01,12
2018-05-01,17
2018-06-01,10
2018-07-01,6
2018-08-01,9
2018-09-01,8
2018-10-01,8
2018-11-01,16
2018-12-01,15
2019-01-01,20
2019-02-01,13
2019-03-01,10
2019-04-01,18
2019-05-01,21
2019-06-01,15
2019-07-01,17
2019-08-01,25
2019-09-01,15
2019-10-01,14
2019-11-01,14
2019-12-01,20
2020-01-01,27
2020-02-01,18
2020-03-01,21
2020-04-01,16
2020-05-01,23
2020-06-01,20
2020-07-01,13
2020-08-01,15
2020-09-01,13
2020-10-01,13
2020-11-01,16
2020-12-01,22
2021-01-01,11
2021-02-01,11
2021-03-01,21
2021-04-01,29
2021-05-01,18
2021-06-01,15
2021-07-01,11
2021-08-01,14
2021-09-01,14
2021-10-01,21
2021-11-01,28
2021-12-01,14
2022-01-01,15
2022-02-01,16
2022-03-01,20
2022-04-01,18
2022-05-01,17
2022-06-01,8
2022-07-01,13
2022-08-01,21
2022-09-01,11
2022-10-01,17
2022-11-01,19
2022-12-01,17
2023-01-01,12
2023-02-01,11
2023-03-01,16
2023-04-01,15
2023-05-01,26
2023-06-01,9
